;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:44:40 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SUBJECT,16000.00 ,12000.00 ,0.00 ,320.00 ,4.63 ,100.00 ,inactive
100112 120000,SUBJECT,16000.00 ,12000.00 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120047,SUBJECT,15860.12 ,12166.70 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120134,SUBJECT,15720.25 ,12333.40 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120221,SUBJECT,15580.37 ,12500.10 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120308,SUBJECT,15440.49 ,12666.80 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120355,SUBJECT,15300.61 ,12833.49 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120442,SUBJECT,15160.74 ,13000.19 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120529,SUBJECT,15020.86 ,13166.89 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120616,SUBJECT,14880.98 ,13333.59 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120703,SUBJECT,14741.10 ,13500.29 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120750,SUBJECT,14601.23 ,13666.99 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120837,SUBJECT,14461.35 ,13833.69 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 120924,SUBJECT,14321.47 ,14000.39 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121011,SUBJECT,14181.60 ,14167.09 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121058,SUBJECT,14041.72 ,14333.79 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121145,SUBJECT,13901.84 ,14500.48 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121232,SUBJECT,13761.96 ,14667.18 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121319,SUBJECT,13622.09 ,14833.88 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 121406,SUBJECT,13482.21 ,15000.58 ,0.00 ,320.00 ,4.63 ,320.00 ,4.63 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
