;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:44:40 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 122725,SENSOR,7002.29 ,15644.67 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 122812,SENSOR,6789.63 ,15842.06 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 122859,SENSOR,6576.97 ,16039.45 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 122946,SENSOR,6364.31 ,16236.84 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123033,SENSOR,6151.66 ,16434.23 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123120,SENSOR,5939.00 ,16631.62 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123207,SENSOR,5726.34 ,16829.01 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123254,SENSOR,5513.68 ,17026.39 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123341,SENSOR,5301.03 ,17223.78 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123428,SENSOR,5088.37 ,17421.17 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123515,SENSOR,4875.71 ,17618.56 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 123602,SENSOR,4663.05 ,17815.95 ,0.00 ,312.87 ,6.17 ,312.87 ,6.17 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
