;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:26:35 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 123500,SUBJECT,-5555.40 ,6620.67 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123600,SUBJECT,-5714.13 ,6809.83 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123700,SUBJECT,-5872.85 ,6998.99 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123800,SUBJECT,-6031.58 ,7188.15 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 123900,SUBJECT,-6190.30 ,7377.31 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 124000,SUBJECT,-6349.03 ,7566.48 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 124100,SUBJECT,-6507.75 ,7755.64 ,0.00 ,320.00 ,4.12 ,320.00 ,4.12 ,0.00 ,100.00 ,subject route:leg one:Heading for target location
100112 124200,SUBJECT,-6601.77 ,7980.22 ,0.00 ,350.00 ,4.12 ,350.00 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 124300,SUBJECT,-6643.76 ,8223.56 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 124400,SUBJECT,-6685.74 ,8466.89 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 124500,SUBJECT,-6727.73 ,8710.23 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 124600,SUBJECT,-6769.71 ,8953.57 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 124700,SUBJECT,-6811.70 ,9196.91 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 124800,SUBJECT,-6853.68 ,9440.25 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 124900,SUBJECT,-6895.67 ,9683.58 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125000,SUBJECT,-6937.65 ,9926.92 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125100,SUBJECT,-6979.64 ,10170.26 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
100112 125200,SUBJECT,-7021.62 ,10413.60 ,0.00 ,350.21 ,4.12 ,350.21 ,4.12 ,0.00 ,100.00 ,subject route:leg two:Heading for target location
