;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:26:35 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 120000,SENSOR,12000.00 ,24000.00 ,0.00 ,205.00 ,4.12 ,100.00 ,inactive
100112 120000,SENSOR,12000.00 ,24000.00 ,0.00 ,205.00 ,4.12 ,270.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120100,SENSOR,11835.23 ,23821.35 ,0.00 ,240.37 ,4.12 ,270.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120200,SENSOR,11597.40 ,23769.51 ,0.00 ,270.70 ,4.12 ,270.70 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120300,SENSOR,11350.49 ,23773.45 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120400,SENSOR,11103.59 ,23777.40 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120500,SENSOR,10856.69 ,23781.35 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120600,SENSOR,10609.78 ,23785.30 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120700,SENSOR,10362.88 ,23789.25 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120800,SENSOR,10115.97 ,23793.20 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 120900,SENSOR,9869.07 ,23797.14 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121000,SENSOR,9622.17 ,23801.09 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121100,SENSOR,9375.26 ,23805.04 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
