;; ASSET build:,4-August-2006 13:34
;; ASSET Output recorded at:,Wed Feb 11 09:26:35 GMT 2015, name:,Narrowband Tracking Scenario (High_BRate)
DTG,Track name, x (m), y (m), z (m), course (degs), speed (m/s), dem course (Degs), dem speed (m/s), dem depth (m), fuel, activity
100112 121200,SENSOR,9128.36 ,23808.99 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121300,SENSOR,8881.46 ,23812.94 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121400,SENSOR,8634.55 ,23816.89 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121500,SENSOR,8387.65 ,23820.83 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121600,SENSOR,8140.75 ,23824.78 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121700,SENSOR,7893.84 ,23828.73 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121800,SENSOR,7646.94 ,23832.68 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 121900,SENSOR,7400.04 ,23836.63 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122000,SENSOR,7153.13 ,23840.58 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122100,SENSOR,6906.23 ,23844.53 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122200,SENSOR,6659.33 ,23848.47 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122300,SENSOR,6412.42 ,23852.42 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122400,SENSOR,6165.52 ,23856.37 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122500,SENSOR,5918.62 ,23860.32 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122600,SENSOR,5671.71 ,23864.27 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122700,SENSOR,5424.81 ,23868.22 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122800,SENSOR,5177.90 ,23872.16 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 122900,SENSOR,4931.00 ,23876.11 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123000,SENSOR,4684.10 ,23880.06 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123100,SENSOR,4437.19 ,23884.01 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123200,SENSOR,4190.29 ,23887.96 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123300,SENSOR,3943.39 ,23891.91 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123400,SENSOR,3696.48 ,23895.85 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123500,SENSOR,3449.58 ,23899.80 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123600,SENSOR,3202.68 ,23903.75 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123700,SENSOR,2955.77 ,23907.70 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123800,SENSOR,2708.87 ,23911.65 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 123900,SENSOR,2461.97 ,23915.60 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124000,SENSOR,2215.06 ,23919.54 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124100,SENSOR,1968.16 ,23923.49 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124200,SENSOR,1721.26 ,23927.44 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124300,SENSOR,1474.35 ,23931.39 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124400,SENSOR,1227.45 ,23935.34 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124500,SENSOR,980.55 ,23939.29 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124600,SENSOR,733.64 ,23943.23 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124700,SENSOR,486.74 ,23947.18 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124800,SENSOR,239.83 ,23951.13 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 124900,SENSOR,-7.07 ,23955.08 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125000,SENSOR,-253.97 ,23959.03 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125100,SENSOR,-500.88 ,23962.98 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125200,SENSOR,-747.78 ,23966.92 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125300,SENSOR,-994.68 ,23970.87 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125400,SENSOR,-1241.59 ,23974.82 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125500,SENSOR,-1488.49 ,23978.77 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125600,SENSOR,-1735.39 ,23982.72 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125700,SENSOR,-1982.30 ,23986.67 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125800,SENSOR,-2229.20 ,23990.61 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 125900,SENSOR,-2476.10 ,23994.56 ,0.00 ,270.92 ,4.12 ,270.92 ,4.12 ,0.00 ,100.00 ,sensor route:leg one:Heading for target location
100112 130000,SENSOR,-2708.80 ,23924.44 ,0.00 ,235.55 ,4.12 ,220.00 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130100,SENSOR,-2877.25 ,23745.17 ,0.00 ,219.65 ,4.12 ,219.65 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130200,SENSOR,-3034.69 ,23554.94 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130300,SENSOR,-3192.14 ,23364.72 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130400,SENSOR,-3349.59 ,23174.49 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130500,SENSOR,-3507.03 ,22984.26 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130600,SENSOR,-3664.48 ,22794.03 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130700,SENSOR,-3821.93 ,22603.80 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130800,SENSOR,-3979.37 ,22413.57 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 130900,SENSOR,-4136.82 ,22223.34 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131000,SENSOR,-4294.26 ,22033.11 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131100,SENSOR,-4451.71 ,21842.88 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131200,SENSOR,-4609.16 ,21652.65 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131300,SENSOR,-4766.60 ,21462.43 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131400,SENSOR,-4924.05 ,21272.20 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131500,SENSOR,-5081.49 ,21081.97 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131600,SENSOR,-5238.94 ,20891.74 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131700,SENSOR,-5396.39 ,20701.51 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131800,SENSOR,-5553.83 ,20511.28 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 131900,SENSOR,-5711.28 ,20321.05 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132000,SENSOR,-5868.72 ,20130.82 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132100,SENSOR,-6026.17 ,19940.59 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132200,SENSOR,-6183.62 ,19750.36 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132300,SENSOR,-6341.06 ,19560.13 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132400,SENSOR,-6498.51 ,19369.91 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132500,SENSOR,-6655.95 ,19179.68 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132600,SENSOR,-6813.40 ,18989.45 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132700,SENSOR,-6970.85 ,18799.22 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132800,SENSOR,-7128.29 ,18608.99 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 132900,SENSOR,-7285.74 ,18418.76 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133000,SENSOR,-7443.18 ,18228.53 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133100,SENSOR,-7600.63 ,18038.30 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133200,SENSOR,-7758.08 ,17848.07 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133300,SENSOR,-7915.52 ,17657.84 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133400,SENSOR,-8072.97 ,17467.62 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133500,SENSOR,-8230.41 ,17277.39 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133600,SENSOR,-8387.86 ,17087.16 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133700,SENSOR,-8545.30 ,16896.93 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133800,SENSOR,-8702.75 ,16706.70 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 133900,SENSOR,-8860.20 ,16516.47 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134000,SENSOR,-9017.64 ,16326.24 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134100,SENSOR,-9175.09 ,16136.01 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134200,SENSOR,-9332.53 ,15945.78 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134300,SENSOR,-9489.98 ,15755.55 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134400,SENSOR,-9647.42 ,15565.33 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134500,SENSOR,-9804.87 ,15375.10 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134600,SENSOR,-9962.31 ,15184.87 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134700,SENSOR,-10119.76 ,14994.64 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134800,SENSOR,-10277.21 ,14804.41 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 134900,SENSOR,-10434.65 ,14614.18 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135000,SENSOR,-10592.10 ,14423.95 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135100,SENSOR,-10749.54 ,14233.72 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135200,SENSOR,-10906.99 ,14043.49 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135300,SENSOR,-11064.43 ,13853.26 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135400,SENSOR,-11221.88 ,13663.03 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135500,SENSOR,-11379.33 ,13472.81 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135600,SENSOR,-11536.77 ,13282.58 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135700,SENSOR,-11694.22 ,13092.35 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135800,SENSOR,-11851.66 ,12902.12 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 135900,SENSOR,-12009.11 ,12711.89 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
100112 140000,SENSOR,-12166.55 ,12521.66 ,0.00 ,219.61 ,4.12 ,219.61 ,4.12 ,0.00 ,100.00 ,sensor route:leg two:Heading for target location
